City,Area_sqft,Bedrooms,Bathrooms,Balcony,Age,Price
Kochi,3249,1,4,2,9,33100000
Surat,2002,3,3,2,26,17467000
Ahmedabad,1673,3,4,1,5,14294000
Bangalore,3367,1,2,1,14,50695000
Bangalore,2957,3,4,1,9,45185000
Mumbai,3077,4,4,2,21,77745000
Hyderabad,3449,4,3,1,20,38579000
Lucknow,1496,4,3,2,5,10744000
Kolkata,1705,5,2,1,0,16415000
Jaipur,1315,3,3,2,28,9615000
Kolkata,3831,1,2,1,20,34549000
Jaipur,3481,1,2,1,27,24297000
Ahmedabad,3682,5,1,2,21,30066000
Indore,551,1,1,1,23,3196000
Delhi,1428,4,1,0,19,26044000
Mumbai,1618,3,4,2,29,40960000
Nagpur,2377,1,1,1,20,14687400
Hyderabad,3754,1,3,2,3,41904000
Bangalore,2911,2,3,1,22,43965000
Indore,3584,2,1,0,25,21424000
Ahmedabad,670,2,4,1,21,5800000
Vadodara,1586,3,2,1,13,12880800
Bangalore,859,4,4,0,19,13585000
Mumbai,504,4,4,2,21,13420000
Bangalore,3753,4,2,1,28,56655000
Hyderabad,2110,3,2,1,19,23600000
Visakhapatnam,2609,3,2,0,27,18934800
Coimbatore,2798,2,3,2,7,21665000
Bangalore,833,1,2,2,10,12845000
Mumbai,3299,5,2,0,14,83185000
Hyderabad,539,5,4,0,18,6799000
Coimbatore,1894,1,4,1,7,14775000
Kolkata,3603,2,1,0,12,32607000
Jaipur,486,1,4,0,17,3692000
Visakhapatnam,2111,1,2,0,21,15169200
Visakhapatnam,2630,5,3,2,23,19746000
Lucknow,2815,2,4,0,16,18757500
Bhopal,528,3,4,1,5,3972400
Kochi,1669,5,2,1,24,17280000
Kolkata,2001,3,4,1,14,18739000
Surat,1069,2,4,0,12,9626500
Mysore,3849,1,2,2,25,26223200
Chennai,548,4,4,0,25,7156000
Hyderabad,1384,4,3,0,17,15844000
Kolkata,1251,2,1,1,10,11559000
Bhopal,1856,4,4,0,12,11604800
Visakhapatnam,1027,3,3,2,0,8364400
Chandigarh,1892,4,4,1,17,27308000
Chennai,2893,2,1,2,4,35216000
Bhopal,2444,2,2,2,5,14775200
Kolkata,3952,3,1,2,0,36298000
Kochi,1283,4,4,0,6,13790000
Vadodara,2741,4,1,0,26,21579800
Delhi,2188,1,1,0,3,39594000
Lucknow,3614,5,2,0,8,24321000
Bhopal,649,2,4,1,14,4344200
Trivandrum,3325,1,1,0,5,31757500
Pune,1347,2,1,1,24,17531000
Indore,1374,1,2,2,16,8474000
Indore,1725,5,3,1,19,11160000
Mysore,3496,1,4,0,17,24062800
Chandigarh,3236,2,3,1,21,45624000
Kolkata,1383,4,3,0,3,13347000
Mumbai,1288,2,2,0,8,32580000
Mumbai,3337,3,2,1,13,83935000
Mysore,2517,3,4,1,2,18085600
Bhopal,3072,3,3,2,0,18787600
Jaipur,1274,3,1,2,26,9128000
Bangalore,3583,5,3,2,28,54455000
Kolkata,3835,4,2,2,10,35315000
Pune,1726,4,1,2,0,23318000
Ahmedabad,870,2,1,1,11,7240000
Jaipur,2387,1,2,2,24,16779000
Hyderabad,490,2,1,1,8,5730000
Mumbai,929,2,3,2,4,23965000
Kochi,1060,2,2,0,14,10860000
Lucknow,1138,2,4,2,17,7997000
Indore,3173,4,2,0,8,19718000
Visakhapatnam,1271,1,4,1,12,9621200
Vadodara,2086,2,4,2,27,16670800
Jaipur,591,4,2,1,12,4817000
Mysore,2386,2,2,2,23,16464800
Surat,3713,3,4,1,12,32330500
Surat,2585,2,4,2,26,22392500
Mysore,744,2,1,2,9,5459200
Indore,3651,5,2,0,9,22716000
Kolkata,1408,3,2,1,21,13022000
Delhi,2950,1,1,1,6,53330000
Bangalore,602,2,2,1,27,9110000
Surat,972,1,1,1,21,8192000
Hyderabad,591,3,1,1,4,7071000
Surat,2452,2,2,0,19,21002000
Surat,2313,5,3,2,6,20810500
Surat,3708,4,4,0,19,32218000
Delhi,2116,5,2,1,9,38978000
Delhi,710,5,3,1,9,13790000
Vadodara,2996,4,1,2,25,23748800
Hyderabad,2503,4,3,0,24,28013000
Mumbai,842,4,2,2,20,21650000
Mumbai,1660,2,2,2,23,41740000
Kochi,1269,1,3,0,27,12660000
Delhi,3668,1,2,2,12,66334000
Trivandrum,984,4,4,0,14,10148000
Indore,1994,5,3,0,27,12534000
Pune,3199,3,1,1,27,41697000
Chennai,1937,4,3,2,5,24264000
Chandigarh,3920,5,3,1,19,55690000
Surat,759,5,3,2,11,7501500
Pune,2123,2,3,2,18,28059000
Hyderabad,3266,2,1,1,10,36226000
Mysore,2477,1,1,1,5,17093600
Delhi,2202,1,1,1,0,39986000
Pune,2411,3,3,0,1,32133000
Vadodara,2555,3,4,2,22,20579000
Chandigarh,1243,3,4,0,14,18052000
Nagpur,2025,3,1,2,3,13225000
Nagpur,3164,5,4,2,4,20926800
Mumbai,1290,5,4,0,14,33200000
Jaipur,2391,1,4,0,10,17167000
Pune,2382,2,4,2,9,31726000
Nagpur,1359,2,4,1,16,8965800
Bangalore,1868,4,2,1,1,28920000
Mysore,3340,5,1,1,19,23282000
Chennai,1861,3,3,1,23,22762000
Kochi,1131,3,4,2,9,12220000
Bangalore,1005,4,2,1,19,15615000
Kochi,2904,2,3,1,29,29200000
Mysore,1014,3,2,1,2,7625200
Kolkata,3145,2,4,2,18,28885000
Mysore,2404,4,4,0,27,16887200
Jaipur,2119,2,4,1,4,15613000
Mumbai,3966,2,4,2,2,100050000
Ahmedabad,1073,2,3,2,7,9264000
Kolkata,1670,3,3,1,4,15840000
Patna,2990,1,2,0,27,14800000
Ahmedabad,1987,5,1,0,29,16186000
Mumbai,3304,2,4,0,11,83160000
Chandigarh,2011,2,2,2,13,28594000
Patna,1296,2,2,1,6,6980000
Lucknow,1862,1,2,1,10,12373000
Bangalore,677,4,4,2,7,11255000
Kolkata,951,3,4,1,4,9489000
Nagpur,2036,1,2,1,7,12953200
Nagpur,2558,2,4,0,11,16419600
Mysore,2832,1,2,1,14,19447600
Surat,1160,1,3,1,18,10090000
Delhi,3662,1,4,2,15,66406000
Mumbai,3961,4,3,2,13,99885000
Nagpur,3141,5,1,0,27,19804200
Indore,1849,3,4,2,6,12064000
Hyderabad,804,4,1,0,7,9424000
Hyderabad,1758,4,2,0,6,20058000
Jaipur,1632,5,4,1,29,12154000
Jaipur,421,4,4,0,17,3687000
Bangalore,1077,1,4,1,23,16405000
Kochi,3058,1,1,0,5,30750000
Nagpur,2428,2,1,2,25,15133600
Nagpur,1631,4,2,2,18,10752200
Bangalore,2455,2,3,2,3,37585000
Mysore,3149,3,3,0,22,21783200
Vadodara,2208,1,1,0,2,17452400
Mumbai,928,3,4,1,16,23890000
Mysore,2437,5,3,1,21,17341600
Chandigarh,3049,1,3,1,18,42916000
Surat,2076,3,1,1,26,17776000
Ahmedabad,1056,5,2,0,14,9158000
Chennai,565,3,1,0,25,6850000
Pune,1248,5,1,1,5,17074000
Ahmedabad,895,5,4,0,25,7890000
Mysore,989,1,1,0,11,6775200
Bangalore,828,2,4,0,18,12840000
Nagpur,3221,5,2,0,5,20860200
Bangalore,562,5,4,1,10,9540000
Patna,2813,1,2,1,19,14155000
Coimbatore,3997,2,2,0,28,29957500
Patna,1662,4,2,2,19,8930000
Delhi,471,4,1,1,9,9098000
Vadodara,3916,2,4,1,25,30904800
Bangalore,1054,3,3,2,15,16480000
Nagpur,3980,1,1,1,26,24506000
Jaipur,668,2,2,2,17,5036000
Chennai,2176,4,3,2,13,26972000
Mumbai,2862,5,1,0,3,72360000
Chennai,1668,4,3,1,26,20536000
Mumbai,1415,5,2,2,11,36305000
Coimbatore,3122,1,3,0,19,23545000
Trivandrum,1483,5,3,1,26,14758500
Nagpur,405,2,2,0,22,2611000
Mysore,1381,5,3,0,20,10100800
Ahmedabad,3017,3,1,2,7,24726000
Kolkata,806,2,3,1,6,7874000
Bangalore,3688,1,4,0,25,55450000
Surat,2353,2,1,2,8,20420500
Mumbai,2473,3,3,2,23,62335000
Nagpur,3476,1,4,0,24,21701200
Indore,1385,4,4,0,16,9070000
Kochi,789,3,4,2,9,8800000
Vadodara,1109,1,3,0,28,8600200
Vadodara,3018,5,2,0,27,23990400
Coimbatore,1871,2,4,1,2,14852500
Pune,1153,1,2,2,20,15139000
Pune,2593,2,1,0,24,33649000
Bhopal,1811,5,2,2,7,11513800
Kochi,3232,1,2,1,13,32530000
Vadodara,1672,4,2,2,25,13541600
Ahmedabad,925,3,2,2,6,8130000
Delhi,1885,1,2,2,15,34180000
Trivandrum,2460,5,1,1,17,23980000
Mumbai,3350,1,1,1,10,83900000
Visakhapatnam,2831,2,2,2,5,20983200
Mumbai,955,1,2,2,19,24045000
Hyderabad,3334,4,4,1,20,37434000
Nagpur,3870,1,1,0,13,24004000
Kochi,418,3,3,1,20,4670000
Chennai,974,1,1,2,12,11878000
Bangalore,3962,2,3,0,3,60030000
Surat,3198,1,4,0,19,27433000
Surat,1403,4,2,0,19,12385500
Indore,2866,5,4,1,10,18306000
Coimbatore,3808,1,2,1,17,28690000
Trivandrum,2866,1,1,1,0,27577000
Pune,2338,3,2,1,11,30944000
Bangalore,2339,4,3,2,17,35865000
Jaipur,2035,5,3,0,6,15235000
Hyderabad,2098,2,4,2,11,23798000
Surat,2569,1,1,1,0,22186500
Coimbatore,831,5,3,1,21,7002500
Trivandrum,2491,2,4,2,3,24544500
Bangalore,2295,4,1,0,17,34805000
Mumbai,2343,4,1,0,14,59015000
Mysore,1740,5,4,1,2,13102000
Trivandrum,2828,2,3,1,6,27486000
Mumbai,544,4,3,1,5,14540000
Bangalore,3798,5,4,1,14,58000000
Patna,2810,4,3,0,14,14730000
Lucknow,1473,4,4,2,5,10714500
Vadodara,1488,4,3,0,7,12426400
Bangalore,2802,3,3,2,7,42860000
Ahmedabad,1199,2,4,1,21,10032000
Coimbatore,3635,5,4,1,0,28572500
Patna,3612,5,3,2,25,18830000
Visakhapatnam,3273,2,4,1,12,24185600
Vadodara,1551,2,3,0,22,12317800
Delhi,2845,2,2,1,23,51370000
Lucknow,2356,2,1,1,20,15414000
Delhi,3327,1,1,1,12,59996000
Surat,862,5,3,1,10,8317000
Ahmedabad,2174,1,1,0,3,17602000
Mumbai,2445,4,3,2,6,62125000
Jaipur,1207,4,4,1,27,9069000
Chandigarh,586,5,2,1,11,9054000
Vadodara,2143,4,1,0,26,16915400
Nagpur,1131,2,1,0,12,7192200
Kolkata,2335,1,4,0,21,21225000
Lucknow,1613,2,2,1,11,10884500
Bangalore,1811,4,2,2,15,27865000
Patna,828,1,2,0,5,4430000
Bhopal,3305,2,4,0,13,19689000
Kolkata,1707,5,1,0,18,15873000
Chennai,2684,2,1,2,15,32488000
Bhopal,1617,4,2,1,26,9778600
Mysore,1710,1,4,1,25,11838000
Mumbai,1170,5,4,1,3,30500000
Ahmedabad,1157,1,4,0,4,9806000
Coimbatore,535,5,2,1,8,4922500
Nagpur,1191,1,4,0,23,7554200
Coimbatore,570,4,2,2,2,5235000
Indore,2606,5,2,2,21,16366000
Kochi,2648,3,2,1,9,27070000
Visakhapatnam,3958,1,3,0,16,28687600
Delhi,1980,1,2,0,18,35670000
Delhi,1361,2,4,1,9,25178000
Vadodara,3030,5,3,2,29,24324000
Kochi,3975,3,1,2,11,40260000
Vadodara,1275,4,1,2,22,10385000
Vadodara,2818,2,4,2,6,22800400
Surat,502,3,4,2,17,5017000
Mysore,1401,5,4,1,18,10476800
Lucknow,1548,3,4,1,14,10792000
Pune,3784,1,3,1,6,49662000
Visakhapatnam,3423,1,4,2,11,25215600
Vadodara,3245,2,2,2,21,25591000
Chandigarh,1881,5,1,1,28,26724000
Hyderabad,3701,5,4,1,6,41901000
Mumbai,1057,3,2,2,9,27095000
Ahmedabad,3329,2,4,0,24,26932000
Trivandrum,1620,5,2,1,23,16000000
Indore,3180,1,3,2,21,19330000
Indore,822,3,1,2,27,5122000
Hyderabad,3019,4,1,1,29,33429000
Kolkata,570,1,3,0,19,5260000
Chennai,3853,2,2,2,29,46356000
Pune,2620,5,4,1,28,34810000
Bhopal,3110,1,2,2,9,18408000
Mysore,852,4,1,2,24,6193600
Visakhapatnam,2797,4,3,2,22,20818400
Bangalore,2375,2,3,2,4,36365000
Ahmedabad,2057,1,2,0,17,16506000
Mysore,2941,3,2,1,8,20608800
Nagpur,3067,1,3,1,29,19025400
Bhopal,3475,4,1,1,15,20655000
Patna,3564,2,4,1,6,18560000
Lucknow,3366,2,4,1,24,22259000
Kochi,2453,3,2,0,26,24700000
Surat,687,2,3,2,24,6179500
Kochi,2041,2,3,2,9,21050000
Hyderabad,3617,2,3,1,4,40447000
Trivandrum,1847,2,1,2,6,18006500
Jaipur,2313,2,2,2,4,16811000
Indore,1007,4,2,2,14,6762000
Trivandrum,856,1,2,1,18,8242000
Mumbai,2164,5,1,1,9,54870000
Mumbai,1625,2,2,0,7,41025000
Visakhapatnam,1635,5,4,1,23,12622000
Delhi,1429,5,2,0,8,26552000
Vadodara,3071,4,2,1,10,24673800
Nagpur,2823,2,2,2,29,17622600
Ahmedabad,846,5,1,0,27,7098000
Bhopal,1234,2,4,0,21,7517200
Trivandrum,3577,3,4,0,1,34891500
Mumbai,1210,3,3,1,2,31100000
Nagpur,1824,3,3,0,12,11878800
Kolkata,3567,5,4,1,10,33213000
Hyderabad,1811,3,2,0,27,20071000
Vadodara,1358,4,2,1,9,11332400
Bangalore,1875,4,2,0,26,28445000
Indore,3296,5,1,2,14,20526000
Nagpur,1208,2,2,2,5,8089600
Kochi,1378,1,1,0,0,14050000
Hyderabad,2863,2,4,1,13,32093000
Vadodara,1125,2,2,1,17,9055000
Coimbatore,3975,2,2,1,23,29972500
Hyderabad,2901,2,3,2,10,32531000
Visakhapatnam,3762,1,4,2,7,27736400
Surat,1616,3,2,2,21,14166000
Coimbatore,2597,2,1,1,2,19937500
Mysore,2303,4,4,1,13,16560400
Hyderabad,3206,5,3,1,1,36436000
Indore,1178,5,4,0,28,7738000
Nagpur,1372,4,1,0,15,8926400
Nagpur,3210,2,3,0,5,20462000
Trivandrum,3449,1,1,2,0,33195500
Kolkata,1938,3,4,2,13,18272000
Chennai,1816,5,3,1,9,22802000
Mumbai,3787,3,1,0,5,95145000
Hyderabad,2523,1,4,1,8,28303000
Lucknow,998,5,1,0,6,7237000
Vadodara,3741,3,2,0,24,29389800
Hyderabad,624,1,4,1,1,7554000
Chennai,1953,3,3,1,10,24126000
Delhi,2560,2,3,0,13,46480000
Mysore,2698,1,2,0,4,18656400
Lucknow,3704,3,1,2,8,24646000
Kochi,1240,2,1,1,6,12780000
Mumbai,2214,2,3,1,24,55610000
Hyderabad,1113,1,1,1,13,12333000
Bhopal,1506,4,4,1,26,9374800
Chennai,524,5,4,0,15,7218000
Nagpur,3646,1,3,2,21,22855200
Nagpur,1492,2,4,1,15,9810400
Delhi,3518,2,3,0,6,63864000
Surat,3331,1,1,0,9,28403500
Mysore,1679,4,1,0,20,11737200
Indore,2150,5,1,0,5,13670000
Patna,429,3,2,0,16,2515000
Bangalore,2728,1,3,1,0,41510000
Mumbai,3371,5,4,1,1,85565000
Mumbai,2417,5,1,2,26,60935000
Kochi,3708,2,2,1,13,37440000
Chandigarh,3719,3,4,0,3,52936000
Hyderabad,2815,1,4,2,26,31235000
Indore,894,2,4,0,8,5984000
Bangalore,3496,2,1,0,22,52420000
Mumbai,2009,4,4,1,5,51285000
Mumbai,1117,5,3,0,16,28715000
Ahmedabad,3961,1,2,1,20,31758000
Lucknow,1416,1,4,0,10,9634000
Chandigarh,3965,1,4,2,27,55760000
Indore,1737,2,3,0,28,10522000
Bhopal,1005,4,4,1,3,6929000
Indore,774,3,1,0,20,4814000
Coimbatore,3086,2,1,1,26,23125000
Delhi,2360,3,1,1,8,42970000
Kochi,1448,4,4,2,27,15180000
Patna,1757,5,2,1,15,9555000
Bangalore,3826,1,2,2,2,57900000
Surat,515,3,4,2,3,5407500
Ahmedabad,2495,2,2,0,23,20040000
Lucknow,2201,3,2,2,2,15116500
Delhi,2546,5,4,1,12,46898000
Kochi,1882,1,1,1,18,18810000
Jaipur,1946,3,4,2,28,14152000
Kolkata,2020,5,1,0,24,18570000
Chennai,2852,2,1,2,20,34404000
Trivandrum,3685,4,2,2,25,35507500
Patna,1084,2,2,1,0,6040000
Bhopal,3350,1,1,0,22,19260000
Chandigarh,2950,2,1,0,22,41280000
Chennai,1871,2,2,0,5,22892000
Trivandrum,3341,2,3,0,21,31979500
Chennai,1999,2,1,1,2,24448000
Lucknow,2705,1,1,0,2,17812500
Hyderabad,3291,5,1,0,15,36771000
Jaipur,2568,3,2,0,9,18486000
Bangalore,1209,4,4,1,26,18775000
Surat,1377,3,1,1,24,11874500
Bangalore,2501,3,1,0,16,37765000
Nagpur,3466,4,1,1,6,22169200
Chennai,1754,1,4,2,12,21598000
Patna,1183,4,4,0,27,6455000
Surat,640,1,1,1,10,5590000
Kolkata,2178,3,1,0,9,19992000
Hyderabad,1953,1,3,0,6,21873000
Indore,882,5,4,1,23,6142000
Surat,1412,4,3,2,5,13022000
Bhopal,586,5,1,0,23,3808800
Bangalore,2281,3,1,2,0,34945000
Jaipur,3103,4,1,1,16,22201000
Surat,2709,3,1,0,24,23116500
Surat,1352,5,2,1,11,12342000
Mysore,1787,3,2,1,3,12861600
Nagpur,890,4,2,1,2,6398000
Vadodara,830,4,3,1,5,7414000
Bhopal,638,3,4,0,25,4130400
Kochi,2751,4,1,2,27,27850000
Surat,2745,4,4,2,15,24272500
Chennai,475,3,2,0,12,6150000
Indore,1756,5,1,0,27,10866000
Jaipur,2323,4,1,2,8,16981000
Kochi,3446,4,3,2,25,35080000
Indore,2181,4,4,0,10,13966000
Jaipur,3089,4,3,1,19,22283000
Kolkata,3945,3,2,0,24,35715000
Coimbatore,1226,5,4,2,20,10185000
Mysore,2730,5,2,1,12,19394000
Kochi,990,1,3,2,22,10130000
Visakhapatnam,2519,4,3,1,18,18816800
Nagpur,3734,4,1,2,2,23990800
Trivandrum,3150,1,4,1,11,30415000
Hyderabad,2302,5,4,0,18,26192000
Bangalore,2310,2,1,0,7,34930000
Indore,974,2,4,1,13,6444000
Mysore,3447,5,2,1,21,24089600
Trivandrum,1291,4,2,0,8,12944500
Chennai,2459,2,3,0,24,29688000
Trivandrum,540,3,2,1,23,5440000
Nagpur,2189,3,4,1,16,14261800
Kolkata,416,1,1,0,5,3914000
Bhopal,1486,5,3,2,3,9828800
Trivandrum,652,5,1,0,3,7004000
Lucknow,864,2,3,1,18,5996000
Kolkata,775,4,3,1,11,7795000
Coimbatore,2227,5,1,2,24,17252500
Hyderabad,3428,2,2,0,1,38228000
Bangalore,919,2,2,1,16,14085000
Chandigarh,2260,5,2,0,29,32050000
Chandigarh,489,2,2,1,14,7186000
Patna,1119,1,1,2,9,5845000
Visakhapatnam,3251,1,4,0,2,23997200
Indore,3243,5,3,0,28,20008000
Jaipur,1029,4,1,2,19,7703000
Lucknow,2284,1,2,1,3,15256000
Indore,3646,1,2,1,21,21926000
Surat,475,5,1,0,0,4907500
Pune,1325,3,3,2,0,18195000
Kolkata,2847,2,1,0,17,25703000
Coimbatore,2205,1,1,0,3,16747500
Bhopal,1369,3,4,1,22,8510200
Ahmedabad,1494,4,1,1,21,12332000
Lucknow,2428,3,4,1,14,16512000
Jaipur,3651,5,3,1,26,26227000
Patna,3595,4,1,1,24,18295000
Delhi,1804,4,1,2,22,32912000
Hyderabad,3764,3,2,0,27,41554000
Hyderabad,3244,5,1,2,20,36314000
Pune,594,1,2,0,21,7692000
Kochi,627,3,2,1,9,6860000
Ahmedabad,3902,1,2,2,24,31286000
Nagpur,1859,3,3,0,16,12015800
Bhopal,860,1,4,1,26,5178000
Mumbai,1017,3,2,1,24,25715000
Vadodara,3492,4,1,2,21,27697600
Mysore,463,2,1,2,11,3508400
Surat,2612,4,2,2,19,22822000
Kolkata,2474,1,2,1,11,22516000
Bhopal,3782,5,1,0,15,22505600
Chennai,3459,4,2,0,4,42268000
Chennai,684,2,4,2,28,8588000
Pune,2083,1,4,0,15,27409000
Kochi,2728,4,3,1,16,28000000
Indore,1237,3,2,0,22,7672000
Vadodara,1230,5,3,1,28,10224000
Kolkata,1587,1,3,2,14,14673000
Lucknow,3365,4,3,0,12,22592500
Kochi,623,1,2,1,7,6560000
Kolkata,1183,3,3,2,26,11097000
Bangalore,3617,2,4,2,20,54795000
Bhopal,3412,4,3,2,1,20889600
Bhopal,1349,1,4,2,7,8474200
Patna,3501,1,4,0,9,17955000
Mysore,444,1,2,1,6,3369200
Ahmedabad,2210,2,3,0,9,18160000
Jaipur,870,1,2,1,24,6080000
Kolkata,2481,5,4,2,3,23659000
Mumbai,3100,5,1,0,10,78170000
Bangalore,3898,1,3,2,8,58980000
Bhopal,1229,5,2,1,3,8138200
Surat,2309,4,1,2,2,20466500
Mumbai,2668,5,3,0,10,67610000
Pune,2291,1,3,0,2,30253000
Trivandrum,2981,3,2,1,25,28589500
Pune,1091,4,1,1,17,14643000
Indore,1790,2,2,0,25,10780000
Bhopal,1331,1,3,0,18,7869800
Bhopal,1240,2,3,0,13,7592000
Visakhapatnam,3458,3,4,0,23,25367600
Trivandrum,2338,2,3,1,10,22751000
Nagpur,1973,1,3,0,23,12282600
Vadodara,3029,1,1,1,1,23956200
Trivandrum,3587,3,1,0,26,34126500
Chandigarh,2686,1,4,0,1,38214000
Hyderabad,3806,3,4,2,1,42936000
Chennai,2888,3,4,2,9,35566000
Bangalore,547,1,2,0,22,8155000
Kochi,1432,5,2,1,14,15110000
Mysore,1711,3,4,0,21,12144800
Patna,787,1,2,2,11,4265000
Visakhapatnam,3521,5,3,0,10,26261200
Jaipur,2273,3,4,2,16,16681000
Surat,3988,5,4,0,17,34788000
Coimbatore,1315,4,2,0,13,10442500
Visakhapatnam,2278,4,1,1,16,16881600
Mumbai,3085,5,4,2,14,78235000
Trivandrum,677,3,2,2,11,7061500
Vadodara,2377,1,2,2,26,18570600
Vadodara,2259,2,1,1,15,17820200
Bangalore,3436,1,4,0,22,51730000
Nagpur,3771,2,1,1,5,23780200
Chandigarh,2225,2,3,0,1,31790000
Indore,3036,3,1,1,1,18846000
Lucknow,2233,5,1,1,15,15164500
Nagpur,3096,1,2,2,1,19725200
Ahmedabad,1017,5,1,1,7,8946000
Pune,2030,4,3,0,29,26770000
Indore,2582,3,2,1,6,16142000
Trivandrum,979,3,3,1,0,10190500
Ahmedabad,1570,4,1,0,3,13220000
Chennai,889,1,3,2,10,11138000
Ahmedabad,2925,4,3,0,19,23980000
Patna,1582,1,1,0,6,8060000
Hyderabad,783,2,1,0,17,8693000
Jaipur,562,3,2,1,3,4644000
Chennai,2888,1,2,1,16,34806000
Vadodara,2276,5,4,0,28,18422800
Surat,1612,5,2,0,28,14132000
Jaipur,2862,3,1,2,10,20564000
Mumbai,1762,4,3,1,10,44890000
Trivandrum,2030,4,3,1,19,19945000
Mysore,1604,1,2,1,10,11177200
Bhopal,687,4,2,1,14,4624600
Nagpur,2257,3,1,0,13,14303400
Bhopal,586,1,3,0,16,3588800
Coimbatore,2307,2,4,2,1,18222500
Bangalore,1561,4,4,1,17,24235000
Pune,529,4,2,1,15,7497000
Patna,2641,1,4,0,11,13615000
Kochi,2763,5,1,2,9,28480000
Hyderabad,2287,4,4,0,27,25697000
Visakhapatnam,543,3,2,1,15,4379600
Delhi,415,4,1,1,2,8230000
Lucknow,3773,2,3,2,7,25204500
Patna,2870,4,1,0,26,14550000
Bhopal,644,5,2,1,21,4385200
Hyderabad,1326,4,2,1,21,15086000
Mumbai,3578,1,4,2,24,89760000
Vadodara,3559,4,4,1,23,28460200
Mumbai,2576,5,3,1,1,65570000
Patna,1306,1,3,0,21,6620000
Visakhapatnam,1286,3,2,2,0,10109200
Surat,740,1,2,2,28,6280000
